Date,Parameter,Value
2020-01-17T18:00:00.0000000Z,wind_speed,2.0210747961793514
2020-01-17T21:00:00.0000000Z,wind_speed,2.1956236660520707
2020-01-18T00:00:00.0000000Z,wind_speed,3.2489348620259326
2020-01-18T03:00:00.0000000Z,wind_speed,3.489355973418006
2020-01-18T06:00:00.0000000Z,wind_speed,3.5009097703911625
2020-01-18T09:00:00.0000000Z,wind_speed,3.5484775208738664
2020-01-18T12:00:00.0000000Z,wind_speed,2.6787112695057713
2020-01-18T15:00:00.0000000Z,wind_speed,2.772894928211519
2020-01-18T18:00:00.0000000Z,wind_speed,2.350431204224234
2020-01-18T21:00:00.0000000Z,wind_speed,2.5302422134807085
2020-01-19T00:00:00.0000000Z,wind_speed,2.860565260893028
2020-01-19T03:00:00.0000000Z,wind_speed,3.712330831626041
2020-01-19T06:00:00.0000000Z,wind_speed,4.490209818608571
2020-01-19T09:00:00.0000000Z,wind_speed,5.416006851059139
2020-01-19T12:00:00.0000000Z,wind_speed,4.8701547268515935
2020-01-19T15:00:00.0000000Z,wind_speed,4.339823521778631
2020-01-19T18:00:00.0000000Z,wind_speed,4.26629489179803
2020-01-19T21:00:00.0000000Z,wind_speed,4.226149643022898
2020-01-20T00:00:00.0000000Z,wind_speed,4.794941173026651
2020-01-20T03:00:00.0000000Z,wind_speed,5.00232432142186
2020-01-20T06:00:00.0000000Z,wind_speed,4.822650711413638
2020-01-20T09:00:00.0000000Z,wind_speed,5.593312882643449
2020-01-20T12:00:00.0000000Z,wind_speed,4.573443811911733
2020-01-20T15:00:00.0000000Z,wind_speed,5.201598848443459
2020-01-20T18:00:00.0000000Z,wind_speed,4.880883953721766
2020-01-20T21:00:00.0000000Z,wind_speed,3.8962805854727716
2020-01-21T00:00:00.0000000Z,wind_speed,3.7883422350575495
2020-01-21T03:00:00.0000000Z,wind_speed,3.079851434915321
2020-01-21T06:00:00.0000000Z,wind_speed,3.578637412478926
2020-01-21T09:00:00.0000000Z,wind_speed,4.397953951577251
2020-01-21T12:00:00.0000000Z,wind_speed,4.884842007467164
2020-01-21T15:00:00.0000000Z,wind_speed,6.078524803746766
2020-01-21T18:00:00.0000000Z,wind_speed,6.638868533823182
2020-01-21T21:00:00.0000000Z,wind_speed,5.969374705622432
2020-01-22T00:00:00.0000000Z,wind_speed,4.806853596512432
2020-01-22T03:00:00.0000000Z,wind_speed,5.267773681924472
2020-01-22T06:00:00.0000000Z,wind_speed,6.5839364157529
2020-01-22T09:00:00.0000000Z,wind_speed,7.96823004937993
2020-01-22T12:00:00.0000000Z,wind_speed,6.355655440172813
2020-01-22T15:00:00.0000000Z,wind_speed,5.418022216377391
2020-01-22T18:00:00.0000000Z,wind_speed,4.895506719889984
2020-01-22T21:00:00.0000000Z,wind_speed,4.747347380466999
2020-01-23T00:00:00.0000000Z,wind_speed,3.344166385455402
2020-01-23T03:00:00.0000000Z,wind_speed,3.255105288322456
2020-01-23T06:00:00.0000000Z,wind_speed,3.476754386312125
2020-01-23T09:00:00.0000000Z,wind_speed,4.0109258387281645
2020-01-23T12:00:00.0000000Z,wind_speed,3.265642372258838
2020-01-23T15:00:00.0000000Z,wind_speed,4.509703384240389
2020-01-23T18:00:00.0000000Z,wind_speed,4.281184526455305
2020-01-23T21:00:00.0000000Z,wind_speed,4.389980297109648
2020-01-24T00:00:00.0000000Z,wind_speed,4.070186542187969
2020-01-24T03:00:00.0000000Z,wind_speed,4.301858621225374
2020-01-24T06:00:00.0000000Z,wind_speed,4.239959788564921
2020-01-24T09:00:00.0000000Z,wind_speed,4.934943724377156
2020-01-24T12:00:00.0000000Z,wind_speed,4.5596054105792465
2020-01-24T15:00:00.0000000Z,wind_speed,4.808994767335401
2020-01-24T18:00:00.0000000Z,wind_speed,6.257107869460712
2020-01-24T21:00:00.0000000Z,wind_speed,6.213653402286505
2020-01-25T00:00:00.0000000Z,wind_speed,5.175357673615046
2020-01-25T03:00:00.0000000Z,wind_speed,4.676745647371563
2020-01-25T06:00:00.0000000Z,wind_speed,4.539968474576979
2020-01-25T09:00:00.0000000Z,wind_speed,4.632471386111773
